scenario_id,selected,track_id,type,direction,scenario_type,constraint_agents,start_time,end_time
1,s,18,,,placeholder,19;20;23;25;49;51,0,32.032
2,s,19,,,placeholder,18;20;23;25;49;51,0,54.054
3,s,20,,,placeholder,18;19;23;25;49;51,0,54.054
4,s,23,,,placeholder,18;19;20;25;49;51,0,47.380667
5,s,25,,,placeholder,18;19;20;23,0,16.349667
6,s,49,,,placeholder,18;19;20;23;51,22.856167,57.390667
7,s,51,,,placeholder,18;19;20;23;49,24.024,41.041
8,s,106,,,placeholder,107;108;109;112;143;144;150;153;178;226;227,84.084,205.205
9,s,107,,,placeholder,106;108;109;112;143;144;150;153;178;226;227,84.084,206.039167
10,s,108,,,placeholder,106;107;109;112;143;144;150;153;178;226;227,84.751333,204.871333
11,s,109,,,placeholder,106;107;108;112;143;144;150;153,85.251833,152.6525
12,s,112,,,placeholder,106;107;108;109;143;144;150;153;178;226;227,89.5895,202.7025
13,s,143,,,placeholder,106;107;108;109;112;144;150;153;178;226;227;251;252,123.957167,232.398833
14,s,144,,,placeholder,106;107;108;109;112;143;150;153;178;226;227,124.124,204.037167
15,s,150,,,placeholder,106;107;108;109;112;143;144;153,132.966167,142.308833
16,s,153,,,placeholder,106;107;108;109;112;143;144;150,135.468667,138.805333
17,s,178,,,placeholder,106;107;108;112;143;144;226;227;251;252;266,157.6575,278.444833
18,s,226,,,placeholder,106;107;108;112;143;144;178;227,191.357833,204.871333
19,s,227,,,placeholder,106;107;108;112;143;144;178;226,191.357833,204.537667
20,s,251,,,placeholder,143;178;252;266,223.389833,291.124167
21,s,252,,,placeholder,143;178;251,225.391833,237.403833
22,s,266,,,placeholder,178;251,243.910333,291.124167
