scenario_id,selected,track_id,type,direction,scenario_type,constraint_agents,start_time,end_time
,,22,,,,,0,104.6045
,,23,,,,,0,91.758333
,,24,,,,,0,91.5915
,,26,,,,,0,106.773333
,,27,,,,,0,87.5875
,,28,,,,,0,43.877167
,,29,,,,,0,92.759333
,,30,,,,,0,27.193833
,,31,,,,,0,28.194833
,,32,,,,,0,107.941167
,,33,,,,,0,104.104
,,39,,,,,2.335667,65.231833
,,67,,,,,14.681333,266.266
,,74,,,,,19.185833,75.5755
,,75,,,,,19.185833,76.910167
,,86,,,,,30.5305,81.414667
,,97,,,,,47.881167,135.135
,,98,,,,,48.214833,97.764333
,,127,,,,,87.087,109.776333
,,162,,,,,116.449667,126.793333
,,163,,,,,117.951167,127.794333
,,178,,,,,135.969167,208.541667
,,185,,,,,148.481667,231.7315
,,200,,,,,174.507667,272.605667
,,201,,,,,175.341833,192.6925
,,217,,,,,189.355833,215.215
,,257,,,,,224.557667,290.957333
,,261,,,,,230.563667,262.7625
,,279,,,,,257.7575,290.957333
,,280,,,,,257.7575,290.957333
