scenario_id,selected,track_id,type,direction,scenario_type,constraint_agents,start_time,end_time
1,s,2,Pedestrian,,placeholder,3;4;5;6;7;8,0,9.009
2,s,3,Pedestrian,,placeholder,2;4;5;6;7;8,0,9.009
3,s,4,Pedestrian,,placeholder,2;3;5;6;7;8,0,9.009
4,s,5,Pedestrian,,placeholder,2;3;4;6;7;8,0,4.671333
5,s,6,Pedestrian,,placeholder,2;3;4;5;7;8,0,2.669333
6,s,7,Pedestrian,,placeholder,2;3;4;5;6;8,0,3.003
7,s,8,Pedestrian,,placeholder,2;3;4;5;6;7,1.5015,11.5115
8,s,10,Pedestrian,,placeholder,11,14.848167,26.860167
9,s,11,Pedestrian,,placeholder,10,25.358667,36.369667
10,s,26,Pedestrian,,placeholder,27;28;29;30;31,90.09,100.1
11,s,27,Pedestrian,,placeholder,26;28;29;30;31,91.5915,102.6025
12,s,28,Pedestrian,,placeholder,26;27;29;30;31;32,94.761333,107.774333
13,s,29,Pedestrian,,placeholder,26;27;28;30;31;32,95.095,106.106
14,s,30,Pedestrian,,placeholder,26;27;28;29;31;32,96.763333,108.775333
15,s,31,Pedestrian,,placeholder,26;27;28;29;30;32,99.933167,111.945167
16,s,32,Pedestrian,,placeholder,28;29;30;31;34,104.270833,114.114
17,s,34,Pedestrian,,placeholder,32,113.780333,114.114
