scenario_id,selected,track_id,type,direction,scenario_type,constraint_agents,start_time,end_time
1,x,29,Pedestrian,,-,,21.688333,41.875167
2,s,59,Pedestrian,,single_no_interaction_walkway,83;96;107,51.885167,75
3,s,59,Pedestrian,,single_no_interaction_crosswalk,83;96;107,75,94
4,s,59,Pedestrian,,single_no_interaction_walkway,83;96;107,94,123.6235
5,s,83,Pedestrian,,single_no_interaction_walkway,59;96;107,86.5865,114
6,s,83,Pedestrian,,single_no_interaction_crosswalk,59;96;107,114,142
7,s,83,Pedestrian,,single_no_interaction_crosswalk;minor_cut_exit_corner,59;96;107,142,153.486667
8,s,96,Pedestrian,,single_no_interaction_walkway,59;83;107;152;159;160;200;201;202,98.5985,119
9,s,96,Pedestrian,,single_overtakes_single_crosswalk;overtake_on_right,59;83;107;152;159;160;200;201;202,119,180
10,s,96,Pedestrian,,single_passes_single_crosswalk;pass_oncoming_on_right,59;83;107;152;159;160;200;201;202,180,198
11,s,96,Pedestrian,,single_no_interaction_crosswalk;cross_in_front_of_yielding_right-turning_vehicle_on_unsignalized_crosswalk,59;83;107;152;159;160;200;201;202,198,203
12,s,96,Pedestrian,,single_passes_group_walkway;pass_oncoming_on_right,59;83;107;152;159;160;200;201;202,203,227.393833
13,s,107,Pedestrian,,single_no_interaction_walkway,59;83;96;152;159;160;200;201;202,109.275833,128
14,s,107,Pedestrian,,single_no_interaction_crosswalk,59;83;96;152;159;160;200;201;202,128,180
15,s,107,Pedestrian,,single_passes_single_crosswalk;pass_oncoming_on_right,59;83;96;152;159;160;200;201;202,180,202
16,s,107,Pedestrian,,single_no_interaction_crosswalk;cross_in_front_of_yielding_right-turning_vehicle_on_unsignalized_crosswalk,59;83;96;152;159;160;200;201;202,202,210
17,s,107,Pedestrian,,single_passes_group_walkway;pass_oncoming_on_right,59;83;96;152;159;160;200;201;202,210,244.911333
18,s,152,Pedestrian,,single_no_interaction_walkway,96;107;159;160;200;201;202,158.158,180
19,s,152,Pedestrian,,single_no_interaction_crosswalk;major_cut_entrance_corner,96;107;159;160;200;201;202,180,188
20,s,152,Pedestrian,,single_passes_single_crosswalk;pass_oncoming_on_right,96;107;159;160;200;201;202,188,203
21,s,152,Pedestrian,,single_no_interaction_crosswalk;major_cut_exit_corner,96;107;159;160;200;201;202,203,210
22,s,152,Pedestrian,,single_no_interaction_walkway,96;107;159;160;200;201;202,210,224.057167
23,s,159,Pedestrian,,group_no_interaction_crosswalk;vehicle_turns_right_in_front_of_crossing_pedestrian_not_over_halfway;cross_in_front_of_yielding_left-turning_vehicle;cross_in_front_of_yielding_right-turning_vehicle_on_signalized_crosswalk,96;107;152;160;200;201;202;243,165.498667,224
24,s,159,Pedestrian,,single_no_interaction_crosswalk;major_cut_entrance_corner,96;107;152;160;200;201;202;243,224,242
25,s,159,Pedestrian,,single_no_interaction_crosswalk;jaywalk_beside_crosswalk,96;107;152;160;200;201;202;243,242,248
26,s,159,Pedestrian,,single_no_interaction_walkway,96;107;152;160;200;201;202;243,248,260.26
27,s,160,Pedestrian,,group_no_interaction_crosswalk;vehicle_turns_right_in_front_of_crossing_pedestrian_not_over_halfway;cross_in_front_of_yielding_left-turning_vehicle;cross_in_front_of_yielding_right-turning_vehicle_on_signalized_crosswalk,96;107;152;159;200;201;202,165.999167,219
28,s,160,Pedestrian,,single_no_interaction_walkway,96;107;152;159;200;201;202,219,247.413833
29,s,200,Pedestrian,,single_no_interaction_crosswalk;minor_cut_entrance_corner,96;107;152;159;160;201;202;243;254;255;259,212.7125,190
30,s,200,Pedestrian,,single_no_interaction_crosswalk,96;107;152;159;160;201;202;243;254;255;259,280,290.7905
31,s,201,Pedestrian,,group_passes_single_walkway;pass_oncoming_on_right,96;107;152;159;160;200;202;243;254;255,215.882333,249
32,s,201,Pedestrian,,group_no_interaction_crosswalk,96;107;152;159;160;200;202;243;254;255,249,257
33,s,201,Pedestrian,,group_no_interaction_crosswalk,96;107;152;159;160;200;202;243;254;255,257,275
34,s,201,Pedestrian,,group_no_interaction_walkway,96;107;152;159;160;200;202;243;254;255,275,286.619667
35,s,202,Pedestrian,,group_passes_single_walkway;pass_oncoming_on_right,96;107;152;159;160;200;201;243;254;255,215.882333,249
36,s,202,Pedestrian,,group_no_interaction_crosswalk,96;107;152;159;160;200;201;243;254;255,249,257
37,s,202,Pedestrian,,group_no_interaction_crosswalk;minor_cut_entrance_corner,96;107;152;159;160;200;201;243;254;255,257,275
38,s,202,Pedestrian,,group_no_interaction_walkway,96;107;152;159;160;200;201;243;254;255,275,286.286
39,s,243,Pedestrian,,single_no_interaction_walkway,159;200;201;202;254;255;259,248.248,280
40,s,243,Pedestrian,,single_no_interaction_crosswalk,159;200;201;202;254;255;259,280,290.7905
41,s,254,Pedestrian,,group_no_interaction_crosswalk,200;201;202;243;255;259,275.108167,290.7905
42,s,255,Pedestrian,,group_no_interaction_crosswalk,200;201;202;243;254;259,275.108167,290.7905
43,s,259,Pedestrian,,single_no_interaction_walkway,200;243;254;255,289.289,290.7905
