sid, type, time, ed_nc_mean, ed_nc_median, ed_nc_max, ed_nc, ed_mean, ed_median,ed_max, ed, ed_change
94,glstart,11.63800599999999,9.17,7.40,21.50,9.16,2.93,1.25,7.30,2.93,-6.23
4,follow,11.704642999999997,2.94,2.11,11.84,2.91,2.30,2.01,6.30,2.29,-0.62
5,rlstop,6.219345,1.89,2.31,3.28,1.89,0.17,0.16,0.31,0.17,-1.71
6,glstart,11.871580000000002,3.70,2.00,13.32,3.68,0.73,0.49,2.25,0.72,-2.95
7,follow,14.378227000000003,4.37,1.86,14.67,4.34,0.52,0.26,2.46,0.51,-3.83
10,glstart,11.202002,1.01,1.06,2.18,1.01,1.12,0.60,3.40,1.12,0.11
12,glstart,11.703571000000004,4.37,1.31,12.64,4.35,2.42,1.44,6.27,2.41,-1.94
13,follow,11.871454999999997,1.95,1.81,3.74,1.94,1.90,1.83,5.24,1.89,-0.05
15,follow,13.375215000000004,2.69,0.42,10.27,2.68,0.55,0.13,2.31,0.55,-2.13
26,free,3.144487,2.21,1.78,6.21,2.17,1.54,1.32,4.07,1.51,-0.66
28,free,4.9823889999999995,1.49,1.09,4.87,1.47,0.84,0.66,2.09,0.83,-0.63
29,follow,16.018176000000004,5.31,1.36,19.53,5.28,0.99,0.35,4.56,0.98,-4.30
30,free,3.9836270000000003,1.22,0.97,4.80,1.19,0.25,0.17,1.11,0.24,-0.95
34,free,3.1427260000000015,0.56,0.64,1.07,0.55,0.78,0.78,2.18,0.76,0.21
35,free,3.6439960000000013,0.28,0.28,0.50,0.28,0.28,0.33,0.61,0.27,-0.00
38,free,3.310704000000001,3.11,3.03,6.45,3.09,2.77,2.79,5.48,2.75,-0.34
44,rlstop,7.990669999999998,0.94,1.09,1.42,0.93,0.98,1.07,1.31,0.98,0.04
44b,glstart,9.863169,8.25,2.83,28.58,8.18,2.43,1.12,6.74,2.42,-5.76
47,follow,10.832659999999997,4.82,3.07,10.90,4.80,2.30,2.71,4.48,2.29,-2.51
48,rlstop,4.281511999999999,0.55,0.43,1.15,0.55,0.91,1.07,1.44,0.90,0.35
49,rlstop,4.983286999999997,0.87,0.27,2.87,0.85,0.40,0.36,0.85,0.41,-0.45
49b,glstart,19.228268999999997,13.26,1.07,45.85,13.24,0.39,0.00,4.33,0.38,-12.86
50,rlstop,6.589410999999998,0.59,0.62,1.15,0.59,0.86,0.93,1.48,0.86,0.27
52,rlstop,6.152189999999997,0.68,0.24,2.60,0.67,0.30,0.25,0.71,0.30,-0.37
52b,glstart,17.890355,6.35,0.04,28.80,6.32,0.71,0.03,3.01,0.71,-5.61
56,follow,5.818552000000004,1.05,1.03,3.02,1.04,1.28,1.27,2.22,1.28,0.25
57,follow,8.827928,4.59,2.97,13.65,4.56,1.99,1.88,5.63,1.97,-2.58
61,follow,9.497689000000001,5.80,6.71,11.17,5.78,0.78,0.63,2.44,0.77,-5.01
62,follow,11.334299999999999,6.17,6.82,11.47,6.16,1.07,1.23,2.12,1.07,-5.09
65,free_follow,4.3136459999999985,13.46,14.88,19.00,13.42,1.00,0.94,1.92,0.99,-12.43
67,follow,10.666813000000005,8.14,8.39,15.27,8.11,0.65,0.46,1.65,0.65,-7.46
70,follow,29.023042999999994,2.92,0.64,36.29,2.88,0.72,0.64,2.04,0.71,-2.17
74,free_follow,6.151814000000002,5.17,2.25,13.41,5.13,0.95,0.81,2.07,0.94,-4.18
75,free_follow,3.4781050000000064,3.29,2.31,9.70,3.23,1.20,1.45,2.24,1.19,-2.04
76,follow,8.493770999999995,9.78,11.88,15.78,9.76,1.49,1.42,3.00,1.50,-8.26
77,follow,5.334023000000002,5.40,6.06,10.11,5.35,1.25,1.23,2.57,1.24,-4.11
79,follow,5.316937999999993,8.23,9.69,14.08,8.19,1.19,0.76,2.77,1.18,-7.02
81,free_follow,5.651090999999994,4.98,6.68,7.35,4.97,1.33,1.12,2.88,1.33,-3.64
82,free_follow,4.815083999999999,3.62,4.23,6.49,3.60,1.74,1.76,3.02,1.74,-1.85
84,rlstop,9.701958000000005,24.97,17.80,75.93,24.78,1.38,0.83,3.28,1.39,-23.40
90,follow,11.97203300000001,4.74,2.22,13.88,4.72,1.23,1.28,2.38,1.23,-3.49
92,follow,6.8216759999999965,2.77,1.57,8.51,2.75,1.13,0.58,3.92,1.12,-1.63
97,follow,2.6416090000000025,2.37,1.77,6.82,2.32,0.17,0.19,0.26,0.16,-2.15
101,follow,13.642471999999998,5.12,2.49,15.21,5.09,1.90,1.80,4.48,1.89,-3.20
107,free,5.482428999999996,1.33,1.62,2.09,1.33,3.29,3.56,6.89,3.27,1.93
110,free,4.312437000000003,1.73,1.96,2.88,1.72,2.49,2.49,5.10,2.48,0.76
111,follow,2.3075649999999968,2.70,2.01,7.76,2.62,0.30,0.30,0.50,0.29,-2.33
116,rlstop,7.959232999999998,2.68,2.98,4.92,2.68,3.34,3.70,5.53,3.35,0.66
116b,glstart,9.59832800000001,2.78,2.10,12.67,2.75,2.52,3.14,6.04,2.51,-0.24
117,follow,15.115679,2.99,2.32,9.02,2.97,2.23,1.85,4.93,2.22,-0.75
120,glstart,10.933429999999987,3.13,3.67,6.17,3.13,2.80,3.12,6.01,2.79,-0.33
123,free,6.822029999999998,2.59,1.24,6.68,2.57,0.74,0.72,1.57,0.74,-1.83
125,free,3.9793619999999947,0.85,0.83,2.04,0.84,0.78,0.80,1.81,0.77,-0.07
128,free,3.9982579999999928,2.73,2.94,5.16,2.73,2.75,2.93,5.22,2.74,0.00
130,free_follow,8.493126000000004,0.94,0.45,5.99,0.92,2.34,3.06,4.24,2.34,1.42
132,rlstop,7.589911000000001,16.54,11.72,49.44,16.40,0.64,0.31,2.11,0.64,-15.76
133,follow,21.498817999999986,1.76,1.13,4.66,1.76,1.73,1.13,6.90,1.72,-0.04
135,free,3.4778189999999967,2.73,2.54,5.77,2.70,1.53,1.39,3.88,1.51,-1.19
138,free,3.8117069999999984,1.72,1.54,4.13,1.70,1.70,1.53,4.08,1.68,-0.02
139,follow,17.120051999999987,1.43,1.05,4.08,1.43,1.38,0.93,4.01,1.37,-0.05
142,rlstop,6.584958999999998,0.86,0.73,1.82,0.86,0.35,0.39,0.49,0.35,-0.51
142b,glstart,11.001063999999985,18.90,19.09,41.56,18.88,1.23,0.28,3.85,1.23,-17.65
143,free,8.657899000000015,0.96,0.99,1.63,0.96,1.70,1.45,4.64,1.69,0.73
144,follow,8.325501000000003,6.47,5.24,17.43,6.42,0.75,0.78,1.72,0.74,-5.68
145,follow,6.319490000000002,9.62,10.76,18.25,9.58,0.85,0.76,1.81,0.85,-8.73
146,rlstop,5.785098000000005,0.82,0.89,1.50,0.82,1.11,1.37,1.70,1.11,0.29
147,rlstop,5.683628999999996,0.42,0.44,0.73,0.42,0.56,0.58,0.93,0.56,0.14
148,free_follow,3.8121849999999995,12.85,14.43,17.31,12.81,0.73,0.59,1.75,0.72,-12.10
153,free_follow,5.484591999999992,1.77,0.84,7.28,1.73,1.22,1.03,3.20,1.20,-0.53
155,free_follow,4.814443000000011,5.25,5.79,6.37,5.25,1.77,2.30,2.77,1.77,-3.48
159,free_follow,3.6451260000000048,1.35,1.41,3.00,1.34,1.84,1.74,4.65,1.82,0.48
161,free_follow,4.980335999999994,0.99,1.03,2.53,0.98,0.13,0.15,0.21,0.13,-0.84
162,rlstop,5.684990999999997,0.34,0.08,1.72,0.33,0.30,0.29,0.65,0.30,-0.03
162b,glstart,9.163016999999996,6.67,6.31,14.60,6.64,0.94,0.45,2.78,0.94,-5.70
168,free_follow,4.313357999999994,4.15,4.20,9.02,4.11,0.40,0.24,1.51,0.39,-3.72
170,follow,37.678616000000005,0.52,0.00,8.54,0.51,0.15,0.00,2.45,0.15,-0.36
181,follow,4.815849000000014,3.86,3.93,8.54,3.83,0.93,1.02,2.07,0.92,-2.91
182,rlstop,6.420771000000002,12.48,7.41,42.61,12.33,3.75,4.22,5.84,3.75,-8.57
183,rlstop,7.656991000000005,2.03,2.14,3.42,2.04,2.43,2.66,3.74,2.44,0.40
183b,glstart,10.701040000000006,5.58,5.74,11.34,5.57,0.54,0.18,1.76,0.53,-5.04
186,rlstop,9.897307000000012,0.76,0.74,1.44,0.76,0.26,0.24,0.51,0.26,-0.50
187,free,7.1562350000000094,5.76,4.46,16.54,5.70,1.32,1.17,3.08,1.32,-4.39
188,follow,3.9838300000000118,1.62,1.47,3.78,1.60,2.51,2.28,5.96,2.48,0.88
189,follow,14.547536000000008,3.83,0.39,16.43,3.81,1.03,0.39,4.40,1.03,-2.78
191,follow,3.1436449999999923,1.49,1.16,4.17,1.47,0.19,0.20,0.36,0.19,-1.28
192,follow,4.3139830000000075,3.62,3.35,8.60,3.58,0.28,0.25,0.81,0.28,-3.30
193,rlstop,7.721275999999989,2.01,1.74,5.54,2.00,1.28,1.33,2.41,1.28,-0.72
193b,glstart,13.376848999999993,14.74,13.57,35.36,14.69,2.03,1.55,5.18,2.03,-12.66
195,follow,3.1435690000000136,0.63,0.53,1.59,0.62,0.49,0.37,1.29,0.48,-0.14
196,follow,1.8059279999999944,0.67,0.38,2.09,0.64,0.17,0.13,0.43,0.17,-0.47
197,free,3.9793520000000058,1.42,1.25,4.00,1.40,1.40,1.24,3.95,1.39,-0.02
198,follow,3.9797939999999983,2.12,2.30,4.44,2.10,0.44,0.56,0.74,0.44,-1.66
200,follow,16.018552,4.23,1.04,14.91,4.21,0.51,0.43,1.22,0.51,-3.70
201,follow,10.70159799999999,3.32,0.42,17.00,3.28,1.14,0.48,6.75,1.12,-2.16
212,follow,17.689429999999987,1.76,1.53,3.33,1.76,2.20,1.41,6.35,2.19,0.43
231,follow,11.337195000000008,5.95,2.31,19.00,5.91,2.14,1.98,6.49,2.13,-3.78
237,follow,7.323628000000014,4.67,5.28,7.93,4.66,1.09,1.16,1.77,1.09,-3.57
240,follow,7.155776000000003,3.98,4.96,6.04,3.97,0.43,0.35,1.28,0.43,-3.54
241,follow,6.325351000000012,1.90,2.47,3.51,1.89,0.41,0.34,0.87,0.41,-1.48
244,follow,7.993081999999987,13.57,15.45,24.93,13.53,0.53,0.45,1.17,0.53,-13.00
