video_id,scenario_id,scenario_type,time,ed_mean,ed_median,ed_max,ed,ade,fd,hd
769,3,single_no_interaction_on_walkway;minor_cut_exit_corner,3.8580779999999995,1.29,1.46,1.66,0.74,1.83,1.50,1.50
769,4,single_passes_oncoming_single_on_right_on_crosswalk;right_turning_vehicle_yields-pedestrian_in_conflict_lanes_crosses_conflict_lanes_first-signalized_crosswalk_at_end_of_vehicle_turn,60.469461,1.19,1.16,2.60,1.14,2.00,2.08,2.08
769,6,single_no_interaction_on_walkway,25.434263000000005,0.95,0.96,2.28,0.92,1.12,0.96,0.96
769,7,single_passes_oncoming_single_on_right_on_crosswalk;right_turning_vehicle_intersects_pedestrian_path-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,26.970363,1.59,1.75,2.36,1.43,2.83,1.78,1.78
769,8,single_no_interaction_on_crosswalk,31.943765,3.68,3.50,5.44,3.13,14.28,5.43,5.44
769,9,single_no_interaction_on_crosswalk;minor_cut_exit_corner,9.404621000000006,1.81,1.77,2.32,1.35,3.53,2.32,2.32
769,11,single_no_interaction_on_walkway,29.581167999999998,0.76,0.76,1.66,0.71,0.72,1.53,1.53
769,12,single_no_interaction_on_crosswalk;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes-unsignalized_crosswalk,4.953379999999996,1.10,1.31,1.59,0.62,1.44,0.51,0.51
769,13,single_no_interaction_on_crosswalk;right_turning_vehicle_intersects_pedestrian_path-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,23.955917999999997,2.35,2.41,3.80,2.31,6.46,2.14,2.13
769,14,single_no_interaction_on_crosswalk,43.969308999999996,2.58,0.00,8.21,2.58,16.08,2.16,2.16
769,15,single_no_interaction_on_walkway,8.637889999999999,0.94,1.01,1.16,0.72,0.93,1.15,1.15
769,20,single_no_interaction_on_crosswalk;major_cut_entrance_corner,11.378489000000002,1.77,2.15,2.89,1.49,3.83,2.74,2.74
769,21,single_no_interaction_on_crosswalk,24.941168000000005,0.49,0.51,0.82,0.47,0.27,0.51,0.51
769,22,single_passes_oncoming_single_on_right_on_crosswalk;left_turning_vehicle_intersects_pedestrian_path-pedestrian_in_conflict_lanes_crosses_conflict_lanes_first-signalized_crosswalk_at_end_of_vehicle_turn;major_cut_exit_corner,48.918908000000016,5.23,1.32,14.30,3.64,58.03,14.22,14.27
769,23,single_no_interaction_on_walkway,17.369388000000015,0.98,1.03,1.27,0.84,0.99,1.27,1.27
769,27,single_no_interaction_on_crosswalk,15.093344000000002,2.21,2.36,4.53,1.44,7.55,3.35,3.35
769,28,single_passes_oncoming_group_on_right_on_crosswalk,50.921852,1.76,1.98,2.10,1.69,3.25,2.10,2.10
769,29,single_no_interaction_on_crosswalk;right_turning_vehicle_intersect_pedestrian_path-pedestrian_in_conflict_lanes-unsignalized_crosswalk,4.954730000000012,0.82,0.85,1.22,0.56,0.78,1.15,1.15
769,30,single_no_interaction_on_walkway,23.223893000000004,2.04,2.11,2.35,1.80,4.28,1.87,1.87
769,31,single_no_interaction_on_walkway,23.126840000000016,1.05,1.10,1.41,0.96,1.18,0.93,0.93
769,32,single_passes_oncoming_single_on_right_on_crosswalk;minor_cut_entrance_corner,18.91904600000001,4.50,5.26,5.53,3.50,22.80,5.31,5.31
769,33,single_no_interaction_on_crosswalk;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes-unsignalized_crosswalk,5.959388999999987,0.23,0.26,0.42,0.17,0.06,0.37,0.37
769,34,single_no_interaction_on_walkway,3.179975000000013,0.82,0.80,1.24,0.48,0.76,1.21,1.21
769,35,single_no_interaction_on_walkway,10.307200999999992,0.30,0.24,0.61,0.26,0.13,0.58,0.58
769,36,single_no_interaction_on_crosswalk;major_cut_entrance_corner;right_turning_vehicle_yields-pedestrian_in_conflict_lanes_crosses_conflict_lanes_first-signalized_crosswalk_at_beginning_of_vehicle_turn,29.944587000000013,7.87,7.23,14.43,7.10,84.67,8.59,8.59
769,37,single_no_interaction_on_crosswalk;jaywalk_beside_crosswalk,7.915895000000006,0.72,0.77,1.06,0.60,0.57,0.37,0.37
769,41,group_no_interaction_on_crosswalk,5.254617999999994,0.59,0.66,1.00,0.44,0.45,0.98,0.98
769,42,group_passes_oncoming_single_on_right_on_crosswalk,19.85021599999999,1.44,1.75,2.31,1.03,2.55,0.61,0.61
769,43,group_no_interaction_on_walkway,23.59277399999999,1.30,1.44,1.68,1.17,1.83,1.15,1.14
769,44,group_no_interaction_on_crosswalk;minor_cut_entrance_corner,7.9329429999999945,1.35,1.32,2.12,0.95,2.01,2.12,2.12
769,45,group_passes_oncoming_single_on_right_on_crosswalk,19.984425999999985,1.39,1.60,2.34,1.07,2.40,0.96,0.96
769,46,group_no_interaction_on_walkway,0.9037979999999948,0.64,0.72,0.97,0.17,0.48,0.96,0.97
769,48,single_no_interaction_on_walkway,7.499937999999986,1.27,1.32,1.49,0.93,1.67,1.49,1.49
770,1,single_no_interaction_on_walkway,12.957203,1.62,1.68,2.13,1.20,2.80,1.02,1.01
770,2,single_no_interaction_on_crosswalk;minor_cut_entrance_corner;left_turning_vehicle_intersects_pedestrian_path-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,16.968732000000003,6.52,7.77,8.30,4.65,49.11,8.11,8.12
770,3,single_no_interaction_on_crosswalk;minor_cut_exit_corner,4.9237230000000025,0.55,0.56,0.80,0.37,0.33,0.79,0.79
770,4,single_no_interaction_on_walkway,3.0148590000000013,1.34,1.52,1.60,0.69,1.94,1.60,1.60
770,5,group_no_interaction_on_crosswalk;left_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_first-signalized_crosswalk_at_end_of_vehicle_turn,9.969378,1.56,1.63,1.75,1.22,2.52,1.57,1.58
770,6,group_no_interaction_on_walkway,10.160178999999998,0.64,0.72,1.03,0.51,0.51,1.03,1.03
770,7,group_no_interaction_on_crosswalk;left_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_first-signalized_crosswalk_at_end_of_vehicle_turn,9.965615,0.64,0.49,1.79,0.49,0.65,1.79,1.79
770,8,group_no_interaction_on_walkway,10.509903,0.37,0.37,0.73,0.30,0.18,0.65,0.66
