scenario_id,Selected,track_id,type,direction,scenario_type,const_vehicles,start_time,end_time
4,s,4,Car,e_w,follow,12,40,
5,s,5,Car,w_e,rlstop,,,40
6,s,6,Car,e_w,glstart,,40,
7,s,7,Car,e_w,follow,13,40,
10,s,10,Car,w_e,glstart,,40,
12,s,12,Car,e_w,glstart,,40,
13,s,13,Car,e_w,follow,6,40,
14,?,14,Car,w_n,glstart,,30,
15,s,15,Car,e_w,follow,4,40,
26,s,26,Car,s_n,free,,,
28,s,28,Car,n_s,free,,,
29,s,29,Car,e_w,follow,7,40,
30,s,30,Car,n_s,free,,,
34,s,34,Car,n_s,free,,,
35,s,35,Car,n_s,free,,,
36,?,36,Car,e_w,follow,32,40,
38,s,38,Car,n_s,free,,,
42,?,42,Car,w_e,follow,39,,
44,s,44,Car,w_s,rlstop,,,40
44b,s,44,Car,w_s,glstart,,40,
47,s,47,Car,e_s,follow,41,,
48,s,48,Car,s_n,rlstop,,,70
49,s,49,Car,n_s,rlstop,,,80
49b,s,49,Car,n_s,glstart,,70,
50,s,50,Car,s_n,rlstop,,,70
52,s,52,Car,n_s,rlstop,,,80
52b,s,52,Car,n_s,glstart,,70,
56,s,56,Car,w_s,follow,51,,
57,s,57,Car,w_e,follow,42,,
61,s,61,Car,e_w,follow,33,,
62,s,62,Car,e_w,follow,37,,
65,s,65,Car,w_e,free_follow,60,,
67,s,67,Car,e_w,follow,62,,
70,s,70,Car,s_n,follow,48,,
74,s,74,Car,e_w,free_follow,72,,
75,s,75,Car,e_w,free_follow,73,,
76,s,76,Car,e_w,follow,74,,
77,s,77,Car,e_w,follow,75,,
79,s,79,Car,e_w,follow,77,,
81,s,81,Car,e_w,free_follow,78,,
82,s,82,Car,e_w,free_follow,79,,
84,s,84,Car,e_w,rlstop,,,140
90,s,90,Car,e_w,follow,84,140,
92,s,92,Car,n_s,follow,49,,
94,s,94,Car,e_w,glstart,,140,
97,s,97,Car,s_n,follow,95,,
101,s,101,Car,e_w,follow,90,140,
107,s,107,Car,s_n,free,,,
110,s,110,Car,n_s,free,,,
111,s,111,Car,n_s,follow,110,,
116,s,116,Car,w_n,rlstop,,,134
116b,s,116,Car,w_n,glstart,,130,
117,s,117,Car,e_w,follow,101,140,
120,s,120,Car,w_e,glstart,,130,
123,s,123,Car,s_n,free,,,
125,s,125,Car,n_s,free,,,
128,s,128,Car,n_s,free,,,
130,s,130,Car,s_w,free_follow,121,,
131,?,131,Car,e_w,follow,113,,
132,s,132,Car,e_s,rlstop,,,140
133,s,133,Car,w_e,follow,120,,
135,s,135,Car,s_n,free,,,
136,?,136,Car,e_w,follow,131,,
138,s,138,Car,s_n,free,,,
139,s,139,Car,e_w,follow,117,140,
142,s,142,Car,n_s,rlstop,,,200
142b,s,142,Car,n_s,glstart,,195,
143,s,143,Car,w_e,free,,,
144,s,144,Car,w_e,follow,133,,
145,s,145,Car,w_e,follow,143,,
146,s,146,Car,s_n,rlstop,,,190
146b,x,146,Car,s_n,glstart,,170,
147,s,147,Car,s_n,rlstop,,,190
148,s,148,Car,w_e,free_follow,145,,
150,?,150,Car,s_n,follow,147,,
153,s,153,Car,w_e,free_follow,151,,
155,s,155,Car,w_e,free_follow,153,,
159,s,159,Car,e_w,free_follow,139,,
161,s,161,Car,e_w,free_follow,157,,
162,s,162,Car,n_s,rlstop,,,
162b,s,162,Car,n_s,glstart,,195,
167,?,167,Car,w_e,free,,,
168,s,168,Car,e_w,free_follow,166,,
170,s,170,Car,n_s,follow,142,,
181,s,181,Car,s_n,follow,150,,
182,s,182,Car,e_w,rlstop,,,
182b,?,182,Car,e_w,glstart,,230,
183,s,183,Car,e_w,rlstop,,,
183b,s,183,Car,e_w,glstart,,230,
186,s,186,Car,w_e,rlstop,,,230
187,s,187,Car,s_n,free,,,
188,s,188,Car,n_s,follow,162,,
189,s,189,Car,e_w,follow,185,230,
191,s,191,Car,n_s,follow,188,,
192,s,192,Car,n_s,follow,170,,
193,s,193,Car,w_e,rlstop,,,230
193b,s,193,Car,w_e,glstart,,230,
195,s,195,Car,n_s,follow,191,,
196,s,196,Car,s_n,follow,190,,
197,s,197,Car,s_n,free,,,
198,s,198,Car,n_s,follow,192,,
200,s,200,Car,e_w,follow,189,230,
201,s,201,Car,e_w,follow,183,230,
212,s,212,Car,e_w,follow,200,230,
229,?,229,Car,e_w,follow,206,230,
231,s,231,Car,,follow,228,,
237,s,237,Car,w_e,follow,231,,
240,s,240,Car,w_e,follow,237,,
241,s,241,Car,w_e,follow,236,,
244,s,244,Car,w_e,follow,240,,
